Database ID,WO Type,Date Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Total WO Input Weight,Total Finalized Weight,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Total Output Weight,Date Closed
2913,Oil - Dilution,5/9/2018 15:08,331(1),Oil,Oil Hybrid Blend,6614.5,47448,331(1)-1,Oil,Oil Hybrid Blend,47448,47448,5/9/2018 15:12
2938,Oil - Dilution,5/11/2018 14:34,370(1),Oil,Oil Hybrid Blend,6800,47451,370(1)-1,Oil,Oil Hybrid Blend,47451,47451,5/11/2018 14:38
2951,Oil - Dilution,5/14/2018 11:31,125(2),Oil,R&D Oil Jesus OG,40.5,832,125(2)-1-CapsuleFormulation,Oil,Oil Jesus OG,832,832,5/16/2018 10:49
2982,Oil - Dilution,5/17/2018 16:09,339(1),Oil,Oil Black Widow,9459.5,42089.5,339(1)-1,Oil,Oil Black Widow,42089.5,42089.5,5/17/2018 16:10
3006,Oil - Dilution,5/22/2018 16:12,373(1),Oil,Oil Alien Dawg (APH),6860,41724,373(1)-2,Oil,Oil Alien Dawg (APH),41724,41724,5/22/2018 16:14
3027,Oil - Dilution,5/24/2018 15:58,442(1),Oil,Oil Treasure Island (APH),3756,36517.5,442(1)-2,Oil,Oil Treasure Island (APH),36517.5,36517.5,5/24/2018 16:02
3056,Oil - Dilution,5/29/2018 16:50,125(2),Oil,R&D Oil Jesus OG,42,955,693,Oil,R&D Oil Jesus OG,955,955,5/29/2018 17:04
3221,Oil - Dilution,6/22/2018 15:01,346(1),Oil,Oil Jesus OG,2328,14165.5,346(1)-2,Oil,Oil Jesus OG,14165.5,14165.5,6/22/2018 15:03
3242,Oil - Dilution,6/26/2018 15:44,687(1),Oil,Oil Treasure Island (APH),7218.5,40493,687(1)-1,Oil,Oil Treasure Island (APH),40493,40493,6/26/2018 15:45
3301,Oil - Dilution,7/6/2018 13:24,692(1),Oil,Oil Black Widow,13491.5,47882,692(1)-1,Oil,Oil Black Widow,47882,47882,7/6/2018 13:27
3292,Oil - Dilution,7/4/2018 17:11,687(1),Oil,Oil Treasure Island (APH),17112,38552,687(1)-2,Oil,Oil Treasure Island (APH),38552,38552,7/4/2018 17:13
