,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
59,07/05/2018,NL,,630,2,90,2,5000,65,1,53.5,24.3,0.27,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
60,08/05/2018,NL,,630,5,90,1,5000,65,1,33,15,0.167,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
61,08/05/2018,NL,,630,6,90,2,5000,65,1,53.5,24.3,0.27,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
62,10/05/2018,AH,,642,3,100,1,5000,65,1,24,10.9,0.109,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
63,10/05/2018,AH,,642,4,100,1,5000,65,1,23.5,10.7,0.107,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
64,14/05/2018,N2,,629,1,100,1,5000,65,1,63,28.6,0.286,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
65,16/05/2018,N2,,628,1,100,1,5000,65,1,58.5,26.6,0.266,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
66,16/05/2018,N2,,628,2,100,2,5000,65,1,48,21.8,0.218,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
67,17/05/2018,N2,,628,5,100,1,5000,65,1,50,22.7,0.227,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
68,17/05/2018,N2,,628,6,100,2,5000,65,1,40,18.2,0.182,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
69,21/05/2018,TI,,615,1,100,1,5000,65,1,68,30.9,0.309,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
